indicator,training_mean,training_sd,standardized_intercept,standardized_residual_sd
wspeed,2.9292963840962214,0.39096792262881835,-0.1723342840575558,0.6286639394406067
chr5sec,1.7222101094618751,0.32878242394116336,-0.3700284609186312,0.8136405901577413
grip,28.89756430685181,10.943971956301139,-0.16146682467874468,0.5917177042504917
fev,2.214368937557108,0.7766880049351002,-0.2571403813993978,0.6029429659832566
hba,14.176606299683222,4.04672417553356,-0.029610839102325405,0.9470877473348595
